A.ADM1	политико-административное деление первого порядка	первоначальное политико-административное  деление, например, деление США на штаты
A.ADM1H	historical first-order administrative division	a former first-order administrative division
A.ADM2	политико-административное деление второго порядка	дальнейшее деление политико-административного деления первого порядка
A.ADM2H	historical second-order administrative division	a former second-order administrative division
A.ADM3	политико-административное деление третьего порядка	дальнейшее деление политико-административного деления второго порядка
A.ADM3H	historical third-order administrative division	a former third-order administrative division
A.ADM4	политико-административное деление четвертого порядка	дальнейшее деление политико-административного деления третьего порядка
A.ADM4H	historical fourth-order administrative division	a former fourth-order administrative division
A.ADM5	fifth-order administrative division	a subdivision of a fourth-order administrative division
A.ADM5H	historical fifth-order administrative division	a former fifth-order administrative division
A.ADMD	политико-административное  деление	деление страны на административные единицы
A.ADMDH	historical administrative division 	a former administrative division of a political entity, undifferentiated as to administrative level
A.LTER	арендованный район/территория	арендованный правительством Великобритании у властей Китая участок земли, часть Гонконга
A.PCL	политическое образование	
A.PCLD	зависимое политическое образование	
A.PCLF	свободно присоединившееся государство (свободное ассоциированное государство)	
A.PCLH	historical political entity	a former political entity
A.PCLI	независимое политическое образование	
A.PCLIX	участок независимого политического образования	
A.PCLS	наполовину зависимое политическое образование	
A.PRSH	церковный приход	низший церковный округ в христианской церкви, центром которого является храм
A.TERR	территория (административная единица в США, Канаде и Австралии, не имеющая прав штата или провинции)	
A.ZN	зона	
A.ZNB	буферная зона	область, официально признанная в качестве буфера между двумя нациями; военное присутствие минимально или вовсе отсутствует
H.AIRS	посадочная полоса для гидросамолета	место на воде для взлета и посадки гидросамолета
H.ANCH	якорная стоянка	место, где судна бросают якорь
H.BAY	бухта	изгиб берега  между двумя мысами, больше чем открытая гавань, но меньше чем залив
H.BAYS	бухты	изгибы берега  между двумя мысами, больше чем открытая гавань, но меньше чем залив
H.BGHT	излучина (реки)	открытый участок воды; там, где происходит отступание береговой черты
H.BNK	нанос	возвышенность, которая обычно располагается на мелководье; однако количества воды достаточно для надводного судоходства
H.BNKR	речной берег	косой берег реки, который удерживает поток воды в своих границах
H.BNKX	участок берега	
H.BOG	болото	заболоченная территория, которая является благоприятной почвой для торфяного мха, осоки и других болотных растений
H.CAPG	шапка полярного льда	куполообразная масса ледникового льда, покрывающая гонные вершины; по размеру меньше ледникового щита
H.CHN	русло	самый глубоки участок реки, пролива, залива, лагуны; через него проходит основной поток воды
H.CHNL	омут	наиболее глубокое место в озере; здесь могут проходить суда
H.CHNM	морской канал	канал, предназначенный для судоходной связи между морями
H.CHNN	судоходное русло	огражденный буями пролив, достаточно глубокий для безопасного судоходства
H.CNFL	место слияние (рек)	место, где две (или больше) реки соединяются в одну
H.CNL	канал	искусственная река
H.CNLA	акведук/водопровод	трубопровод, используемый для передачи воды
H.CNLB	излучина канала	изогнутый участок канала
H.CNLD	водоотводный канал	искусственный судоходный канал, забирает лишнюю воду  либо в заболоченной местности, либо из дренажного канала
H.CNLI	оросительный канал	канал, который служит главным средством передачи воды для орошения
H.CNLN	судоходный канал	канал, предназначенный для судоходства
H.CNLQ	заброшенный канал	
H.CNLSB	подземный оросительный канал	подземный туннель, по которому течет вода, используемая  для орошения; вода берется из водоносного слоя почвы
H.CNLX	сечение канала	
H.COVE	прибойная пещера	защищённое, закрытое место в скалах на морском берегу
H.CRKT	небольшой временный водоток (связанный с приливами и отливами)	извилистый канал на прибрежной заболоченной территории, по которому идет двустороннее приливное течение
H.CRNT	течение	горизонтальный поток воды в заданном направлении с одинаковой скоростью
H.CUTF	обводной канал	канал, образованный в результате потока воды, идущей  через шейку меандра
H.DCK	док	портовое сооружение для ремонта и постройки судов.
H.DCKB	портовый бассейн	часть гавани, предназначенная для стоянки судов
H.DOMG	ледниковый купол	небольшая возвышенность на поверхности ледника
H.DPRG	ледниковая впадина	небольшое углубление на поверхности ледника
H.DTCH	канава	небольшой искусственный водоем, используемый для осушения и орошения территории
H.DTCHD	водоотводная канава	канава, используемая для осушения территории
H.DTCHI	оросительная канава	канава, используемая для орошения почвы
H.DTCHM	устье канала	место, где осушительный канал впадает в лагуну, озеро или залив
H.ESTY	эстуарий	однорукавное, воронкообразное устье реки, расширяющееся в сторону моря
H.FISH	рыболовная зона	место ловли рыбы
H.FJD	фьорд	узкий, длинный, глубоководный морской залив с крутыми берегами; берега фьорда  в большинстве случаев образованы высокими скалами
H.FJDS	фьорды	узкие, длинные, глубоководные морские заливы с крутыми берегами
H.FLLS	водопад	падение воды в реке с уступа, пересекающего речное русло
H.FLLSX	участок водопада	
H.FLTM	топь	средних размеров площадь илистого грунта, занимает промежуточное место между высокой и низкой границами прилива, подвергается затоплению
H.FLTT	приливно-отливная отмель	береговая полоса, покрываемая водой при приливе
H.GLCR	ледник	масса льда преимущественно атмосферного происхождения, испытывающая вязкопластическое течение под действием силы тяжести и принявшая форму потока, системы потоков, купола (щита) или плавучей плиты
H.GULF	морской залив	вдавшаяся в сушу часть моря
H.GYSR	гейзер	источник вулканического происхождения, выбрасывающий через определённые промежутки времени фонтаны горячей воды и пара
H.HBR	гавань	естественная или искусственная защищенная от ветра и волн прибрежная часть водного пространства, служащая местом стоянки, причала и ремонта судов
H.HBRX	участок гавани	
H.INLT	узкий пролив	узкий водный путь, простирающийся до суши; или связывающий бухту или лагуну с большим водным образованием
H.INLTQ	засыпанный узкий пролив	узкий пролив, который ранее был пригоден для судоходства, в настоящее время пролив засыпан
H.LBED	озерная котловина	место, которое осталось после высохшего или специально осушенного озера
H.LGN	лагуна	мелководный залив или озеро, отделившиеся от моря вследствие образования песчаной полосы
H.LGNS	лагуны	мелководные заливы или озеро, отделившиеся от моря вследствие образования песчаной полосы
H.LGNX	участок лагуны	
H.LK	озеро	замкнутый естественный водоём в углублении суши, котловине
H.LKC	кратерное озеро	озеро в кратере или кальдере (круглое или овальное углубление в жерле вулкана)
H.LKI	временно исчезающее озеро	
H.LKN	соленое озеро	озеро, вода которого сильно минерализована; содержит большое количество солей
H.LKNI	временно исчезающее соленое озеро	
H.LKO	пойменное озеро	серповидное озеро, прилегающее  к извилистым рекам
H.LKOI	временно исчезающее пойменное озеро	
H.LKS	озера	замкнутые естественные водоёмы в углублении суши, котловине
H.LKSB	подземное озеро	озеро в карстовых пещерах, питающееся подземными водами
H.LKSC	кратерные озера	озера в кратере или кальдере (круглое или овальное углубление в жерле вулкана)
H.LKSI	исчезающие озера	
H.LKSN	соленые озера	озера, вода которых сильно минерализована; содержит большое количество солей
H.LKSNI	исчезающие соленые озера	
H.LKX	участок озера	
H.MFGN	соленый испарительный пруд	обвалованный соленые пруды, используемые в производстве  выварочной соли
H.MGV	мангровое болото	связанная с приливами и отливами, тропическая, илистая, равнинная местность, на которой произрастают мангровые растения
H.MOOR	торфяник	залежи торфа, торфяное болото
H.MRSH	травяное болото	заболоченная территория, заросшая травой
H.MRSHN	соленое травяное болото	равнинная местность, подверженная затоплению соленой водой; здесь произрастают преимущественно травянистые солеустойчивые растения
H.NRWS	узкости	район водной поверхности, доступный для плавания по ширине и по глубинам, но стесняющий свободное маневрирование из-за близости берегов, рифов, отмелей и кос
H.OCN	океан	непрерывная водная оболочка Земли, окружающая материки и острова и обладающая общностью солевого состава
H.OVF	водоворот	круговращательное движение воды, происходящее от столкновения встречных течений
H.PND	пруд	небольшой водоем со стоячей водой
H.PNDI	временно исчезающий пруд	
H.PNDN	соленый пруд	небольшой водоем с соленой водой, обычно в болотистой местности, или вдоль морского побережья
H.PNDNI	временно исчезающий соленый пруд	
H.PNDS	пруды	небольшие водоемы со стоячей водой
H.PNDSF	пруд для разведения рыб	специальный искусственный водоем, в котором разводят рыб
H.PNDSI	временно исчезающие пруды	
H.PNDSN	соленые пруды	небольшие водоемы с соленой водой, обычно в болотистой местности, или вдоль морского побережья
H.POOL	бассейн	водоем со стоячей водой
H.POOLI	временно исчезающий водоем	
H.RCH	плёс	участок реки между изгибами, перекатами с широким, спокойным течением и большей, чем на перекатах, глубиной
H.RDGG	шапка полярного льда	узкая и длинная возвышенность на ледниковой поверхности
H.RDST	рейд	часть акватории порта, предназначенная для якорной стоянки судов и перегрузки грузов
H.RF	риф(ы)	резкое надводное или подводное возвышение морского дна на мелководьях, препятствующее судоходству
H.RFC	коралловые рифы	подводные геологические образования из органогенных известняков, представляющие собой препятствия (опасности) для навигации
H.RFX	участок риф	
